DateTime,SiteCode,SampleCode,SamplingMethod,SampleType,SampleMedium,pH,pH,Temp,EC,DO,Alkalinity,TIC,TOC,TN,F,Cl,NO2,Br,NO3,SO4,PO4,Ca,Mg,Na,K,Sr,Si,B,Fe,Al,Ba,Be9,Al27,Si28,P31,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,As75,Se78,Y89,Mo98,Ag107,Cd114,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,TI205,Pb208,U238,Hg202,Sr isotopes,d13C-DIC,dD,d18O,NH4-N,Ortho-P,SamplingNote
3/13/2006 10:30,FLUME_LLJ,JEMEZ_S30,GRAB,Grab,Surface water,9.2,5.8,0.3,44.8,76,0.46,3.58643,0.99,0.307,0.0456,0.5004,0.065,0.08,0.125,3.2782,0.11,4.6669,0.5111,2.5039,0.8701,0.0176,9.2989,0.0171,0.0122,0.0343,0.002,0.0112,18.4,-9999,-9999,0.266,0.246,0.037,0.452,12.5,0.0197,0.112,0.151,0.961,0.188,0.0281,66.7,0.0583,0.824,0.003,0.006,0.004,4.58,42.4,113,10.6,40.8,11.1,1.95,9.49,1.61,9.76,1.84,6.08,0.752,5.29,1.07,0.234,0.0078,7.07,-9999,-9999,-7.1175,-89.05,-12.88,0.009,0.009,
3/13/2006 12:30,FLUME_HG,JEMEZ_S31,GRAB,Grab,Surface water,9.1,5.9,0.5,46.2,78.1,0.25,2.88141,2.799,0.348,0.0374,1.0404,0.065,0.08,0.0553,4.5828,0.11,4.1372,0.727,2.7201,1.2285,0.017,10.871,0.0111,0.094,0.1748,0.002,0.0205,88.9,-9999,-9999,0.693,0.288,0.0652,1.46,69,0.0365,0.208,0.316,2.57,0.131,0.0417,340,0.0522,1.22,0.003,0.005,0.021,6.55,216,468,58.1,258,56.9,6.91,55.3,8.72,48,10.4,29.2,4,25.9,3.98,0.234,0.0573,21.1,-9999,-9999,-17.7682,-86.04,-12.28,0.007,0.039,
3/13/2006 13:05,FLUME_LJ,JEMEZ_S32,GRAB,Grab,Surface water,10.1,6.1,0.1,85.8,74.9,0.72,7.55862,3.73,0.398,0.1398,1.0768,0.065,0.08,0.3697,4.2554,0.11,8.3851,1.3211,5.505,2.2512,0.0407,16.6229,0.002,0.1157,0.092,0.0187,0.0312,42.1,-9999,-9999,0.756,0.535,0.0894,9.71,111,0.0907,0.444,0.744,1.9,0.294,0.0478,239,0.347,0.171,0.003,0.002,0.015,19.8,168,301,47.1,201,42.3,8.26,42.7,6.69,37.5,7.93,22.5,3.6,21.5,3.69,0.234,0.03,38.7,-9999,-9999,-14.5018,-85.9,-12.43,0.006,0.009,
3/13/2006 13:40,FLUME_UJ,JEMEZ_S33,GRAB,Grab,Surface water,10.1,5.8,0.8,41.7,73.5,0.6,6.57902,2.713,0.357,0.0584,0.7618,0.065,0.08,0.125,4.7339,0.11,7.5091,1.0373,4.2938,1.8764,0.0289,16.7254,0.002,0.0647,0.0556,0.0103,0.0164,25.2,-9999,-9999,0.43,0.335,0.0378,1.48,60.7,0.0389,0.232,0.216,1.06,0.248,0.0726,213,0.277,0.403,0.003,0.003,0.0015,10.1,116,166,33.5,144,34.2,5.68,34.9,5.26,30.7,7.09,22.9,2.9,20.5,3.34,0.234,0.0121,27.1,-9999,-9999,-15.8845,-87.72,-12.79,0.001,0.024,
3/13/2006 15:20,FLUME_RM,JEMEZ_S34,GRAB,Grab,Surface water,10.4,6,2,30.6,74.1,0.41,3.86755,2.422,0.292,0.2121,0.735,0.065,0.08,0.125,4.3301,0.5143,4.4355,0.4162,4.9667,1.0273,0.015,14.529,0.002,0.0723,0.1451,0.002,0.0513,85.3,-9999,-9999,1.97,0.633,0.199,0.804,62.3,0.0444,0.245,0.477,3.46,1.88,0.107,129,0.952,1.74,0.0221,0.025,0.067,2.88,116,258,25.3,96.2,20.9,2.61,19.8,3.18,18.6,3.68,12.3,1.76,10.7,1.78,0.02,0.0396,14.4,-9999,-9999,-9999,-77.72,-10.9,0.005,0.324,
3/13/2006 15:40,FLUME_LR,JEMEZ_S35,GRAB,Grab,Surface water,8.1,6.1,0.6,52.8,78.6,0.55,5.93537,2.196,0.377,0.0976,2.3787,0.065,0.08,0.125,9.3724,0.0481,9.4764,0.9507,5.8083,1.6505,0.0437,12.7454,0.0113,0.039,0.0493,0.0124,0.0562,27.6,-9999,-9999,0.501,0.39,0.0484,1.01,39,0.0361,0.309,0.328,1.68,0.571,0.0176,75.3,0.418,2.23,0.0359,0.036,0.06,12.3,73.3,140,18.1,75.7,14.8,3.12,14.6,2.24,12.8,2.4,7.44,0.99,6.45,1.01,0.03,0.0439,12.5,-9999,-9999,-7.2879,-84.92,-12.28,0.013,0.071,
3/13/2006 16:10,FLUME_UR,JEMEZ_S36,GRAB,Grab,Surface water,8.4,5.9,1.3,68.1,75.5,0.71,7.20171,2.837,0.42,0.0787,2.7674,0.065,0.08,0.125,13.7485,0.0879,13.6628,1.1605,5.4534,1.8911,0.0729,12.8161,0.0154,0.0404,0.0407,0.0154,0.0263,24.6,-9999,-9999,0.483,0.292,0.0579,5.3,40,0.0519,0.379,0.307,1.59,0.165,0.0405,74.9,0.122,0.808,0.003,0.003,0.009,14.8,55.1,100,15.1,62.7,14.1,3.83,12.8,1.88,12.2,2.35,7.68,0.974,7.34,1.15,0.234,0.008,38.2,-9999,-9999,-6.9572,-83.5,-12.34,0.003,0.01,
3/13/2006 11:55,LaJaraMidWay,JEMEZ_S37,GRAB,Grab,Surface water,6.8,6.1,1.8,17,69.7,0.19,3.91861,1.138,0.337,0.0341,0.5935,0.065,0.08,1.2437,3.409,0.041,5.0317,0.567,2.6264,0.8302,0.0195,9.4793,0.002,0.002,0.0158,0.002,0.0099,5.24,-9999,-9999,0.126,0.314,0.0306,4.56,5.85,0.039,0.148,0.189,7.7,0.2,0.112,76.2,0.0575,0.0001,0.0018,0.009,0.001,5.66,40.6,44.6,10.7,45.5,10.2,2.04,10.6,1.69,10.6,2.36,7.02,0.786,5.94,0.847,0.234,0.0032,7.53,-9999,-9999,-10.5843,-88.82,-12.8,0.014,0.033,Main stem of La Jara Creek; 1st sign of creek walking downhill from below tributary
3/13/2006 12:55,LaJaraNo2,JEMEZ_S38,GRAB,Grab,Surface water,5.2,7.1,5.2,24.6,76.9,0.29,3.34239,0.834,0.297,0.0495,0.4627,0.065,0.08,0.848,3.3257,0.1043,4.5146,0.4883,2.6366,0.8841,0.0176,9.2571,0.002,0.0276,0.0141,0.002,0.0223,2.6,-9999,-9999,0.0611,0.3,0.0489,0.172,2.58,0.0156,0.129,0.289,0.816,0.211,0.056,62.7,0.0807,1.86,0.003,0.007,0.0015,4.49,29.4,14.1,6.13,26.9,7.27,1.29,7.99,0.959,7.53,1.65,5.1,0.585,4.21,0.641,0.234,0.339,5.7,-9999,-9999,-13.3496,-89.27,-12.89,0.008,0.06,Seep on south side of La Jara Creek
3/13/2006 13:15,FLUME_ULJ,JEMEZ_S39,GRAB,Grab,Surface water,6.2,5.8,2,21.6,75.6,0.25,3.16232,0.646,0.267,0.0452,0.4791,0.065,0.08,0.125,3.2953,0.11,4.3701,0.4827,2.617,0.8578,0.0166,9.2957,0.002,0.0092,0.0283,0.002,0.0142,22.6,-9999,-9999,0.402,0.299,0.041,0.707,14.2,0.0202,0.112,0.282,1.23,0.198,0.0718,74.6,0.0642,0.0001,0.003,0.007,0.0015,4.64,41.9,110,10.2,45.9,10.4,1.53,11.1,1.72,10.3,2.17,6.19,0.798,5.59,0.92,0.234,0.0026,7.56,-9999,-9999,-6.4963,-88.91,-12.84,0.008,0.052,La Jara Creek @ Road
3/14/2006 12:00,VGJJ7,JEMEZ_S40,GRAB,Grab,Surface water,5.9,6.3,0.1,87.6,58.7,0.68,9.41887,2.929,0.249,0.7178,1.5729,0.065,0.08,0.125,2.7571,0.11,6.265,1.3004,10.135,1.9618,0.0241,25.0169,0.002,0.0863,0.0769,0.0139,0.0103,73.8,-9999,-9999,1.52,1.57,0.144,13.4,111,0.0765,0.26,0.393,2.06,0.963,0.118,153,1.49,0.136,0.004,0.031,0.066,13.8,130,255,33.8,135,30.8,6.35,28.7,4.27,26.3,5.32,15.3,2.19,14.5,2.22,0.02,0.0474,41.5,-9999,-9999,-9999,-86.01,-12.3,0.024,0.025,Upstream ~500 ft from VGJJ7 (couldn't collect because frozen ground)
3/14/2006 13:30,VGJJ8,JEMEZ_S41,GRAB,Grab,Surface water,6,6.3,0.7,110.1,8.4,0.6,10.37225,2.461,0.561,0.285,5.2567,0.0325,0.08,0.698,1.8213,0.11,5.4569,1.2977,9.4598,2.8651,0.0286,28.6379,0.002,0.0183,0.0168,0.0379,0.0156,3.56,-9999,-9999,0.135,0.849,0.0385,329,22,0.898,0.363,1.16,2.02,0.988,0.0612,60.3,0.503,0.0136,0.0114,0.018,0.057,37.6,32.9,68.3,8.5,37.5,7.74,6.36,8.13,1.11,7.9,1.73,6.39,0.866,7.14,1.18,0.01,0.0071,12.8,-9999,-9999,-9999,-89.28,-12.78,0.16,0.001,Tributary to E. Fork Jemez near fence & animal enclosement
3/14/2006 14:20,VGJJ9,JEMEZ_S42,GRAB,Grab,Surface water,6.5,6.3,0.3,82.8,70.6,0.86,7.75046,3.173,0.251,0.3744,1.0937,0.065,0.08,0.125,3.3091,0.11,6.8393,1.3088,5.6216,2.1179,0.0355,15.6552,0.002,0.1764,0.1151,0.0251,0.0191,42.9,-9999,-9999,0.966,0.813,0.0724,37.5,104,0.179,0.341,0.465,2.87,0.399,0.077,230,0.46,0.144,0.0004,0.015,0.042,22.6,211,393,53.4,220,44.8,8.52,43,6.52,36.5,7.39,21.4,3.12,20.1,3.35,0.234,0.0284,37,-9999,-9999,-16.0348,-88.11,-12.69,0.035,0.002,Sonde on E. Fork Jemez R.
3/14/2006 16:00,USGS_JRgage,JEMEZ_S43,GRAB,Grab,Surface water,6.7,7.5,11.1,632,86.3,3.08,6.17738,1.993,0.125,0.9497,73.2837,0.065,0.1747,0.125,19.129,0.11,44.9082,5.0522,62.7401,9.7949,0.1584,19.5356,0.6009,0.0185,0.0511,0.0659,0.0487,39.4,-9999,-9999,0.313,2.11,0.0657,17.5,19.2,0.123,0.926,1.1,1.74,62.5,0.184,77.8,3.62,0.0188,0.0071,0.006,0.128,64.6,29.6,37,6.85,25.4,6.28,9.58,6.07,1.12,8.47,1.78,5.87,0.677,5.46,0.886,0.02,0.0057,1200,-9999,-9999,-2.0978,-88.81,-12.32,0.033,0.037,Near USGS gauge on Jemez R.; downstream of Jemez Springs
3/14/2006 10:45,CowboySp,JEMEZ_S44,GRAB,Grab,Surface water,7.1,6.4,8.2,80.7,68,0.8,6.87653,0.824,0.497,0.3334,1.4253,0.065,0.0155,0.3383,2.7799,0.11,4.6402,0.8835,7.3032,4.752,0.0145,28.185,0.014,0.002,0.013,0.002,0.0392,6.15,-9999,-9999,0.167,0.464,0.0829,0.166,4.67,0.013,0.088,0.149,0.8,0.413,0.278,94.3,0.689,0.0252,0.0072,0.006,0.021,4.29,25.5,31.9,7.02,30.8,8.24,1.12,8.2,1.51,10.5,2.52,9.13,1.1,7.56,1.32,0.02,0.0038,54.8,-9999,-9999,-9999,-88.66,-12.56,0.034,0.005,
3/14/2006 11:30,VGJJ3,JEMEZ_S45,GRAB,Grab,Surface water,7.2,6.2,7.7,82.2,34.6,0.45,7.37592,0.67,0.659,0.1719,1.6296,0.2512,0.0124,1.1465,4.0381,0.0023,5.9843,1.1338,5.3486,4.9338,0.0259,22.1975,0.0092,0.002,0.002,0.0121,0.0391,0.626,-9999,-9999,0.0295,0.475,0.0481,0.431,2.18,0.0259,0.147,0.184,0.692,0.327,0.313,372,0.349,0.0117,0.0013,0.011,0.017,12,85.9,6.03,25.9,122,34.1,4.25,36.9,6.15,39.7,10.2,32.5,5.14,31.9,6.19,0.234,0.339,50.1,-9999,-9999,-9999,-87.63,-12.44,0.014,0.031,
3/14/2006 12:05,VGJJ11,JEMEZ_S46,GRAB,Grab,Surface water,8.5,6.4,11.1,80.6,92.5,0.61,6.87653,0.564,0.181,0.7204,1.1509,0.065,0.08,0.125,2.3377,0.11,4.7522,1.0251,10.6264,0.951,0.0147,28.1178,0.002,0.0249,0.0449,0.002,0.0207,36.7,-9999,-9999,0.592,1.73,0.343,1.67,30.6,0.0331,0.107,0.196,0.837,1.02,0.18,59.1,1.82,0.0103,0.0021,0.013,0.048,2.44,40.5,83.2,9.42,34.8,7.98,1.28,7.66,1.54,7.82,1.72,5.2,0.646,4.54,0.772,0.234,0.0204,346,-9999,-9999,-9999,-84.73,-12.19,0.005,0.027,
3/14/2006 12:30,EFAW,JEMEZ_S47,GRAB,Grab,Surface water,7.8,6.5,16.2,89.2,58.2,0.78,8.62439,0.225,0.467,0.308,0.9308,0.065,0.08,0.9575,0.9777,0.0619,5.3198,0.7972,12.7633,0.479,0.0251,36.474,0.002,0.1568,0.002,0.0134,0.0064,1.52,-9999,-9999,0.0509,3.07,0.527,6.75,136,0.0112,0.0864,0.148,0.403,1.26,0.179,2.14,1.69,0.235,0.0075,0.011,0.035,13.3,1.5,2.4,0.241,0.615,0.251,1.22,1.205,0.102,0.438,0.1155,0.0108,0.114,0.381,0.0285,0.2,0.0104,237,-9999,-9999,-14.4618,-83.38,-11.94,0.114,0.114,
4/14/2006 11:50,FLUME_UR,JEMEZ_S48,GRAB,Grab,Surface water,7,6.6,3.9,-9999,70,-0.37,3.639,8.54128,0.59125,0.0892,4.242,0.065,0.08,0.125,13.9223,0.11,9.6856,0.9555,4.8946,2.5435,0.0503,13.7571,0.0231,0.226,0.4062,0.017,0.147,275,14300,31.6,2.52,0.652,0.159,9.01,135,0.122,0.701,1.95,1.69,0.402,0.0894,597,0.232,0.0031,0.004,0.0021,0.0411,16,488,1380,133,539,117,14.6,121,18.7,108,22.3,62.7,8.67,59,8.72,0.0043,0.146,77.9,-9999,-9999,-14.6922,-87.46,-12.49,0.057,0.013,
4/14/2006 13:00,FLUME_LR,JEMEZ_S49,GRAB,Grab,Surface water,7.2,6.7,8.4,-9999,71.3,0.2,3.192,7.29955,0.55604,0.0836,3.1147,0.065,0.08,0.125,12.7932,0.11,7.5646,0.8989,5.3844,2.6386,0.0384,14.139,0.0178,0.3051,0.5267,0.0226,0.123,311,14600,43,2.91,0.88,0.155,4.1,165,0.0999,0.652,2.05,2.82,0.728,0.151,646,0.451,0.0027,0.0036,0.0031,0.0661,21.1,529,1960,152,625,131,15.9,138,20.9,123,25,71.4,10.3,67,10.5,0.0047,0.25,97,-9999,-9999,-14.2914,-87.47,-12.59,0.025,0.024,
4/14/2006 10:45,FLUME_RM,JEMEZ_S50,GRAB,Grab,Surface water,6.9,6.8,9.5,-9999,70.6,0.41,4.909,2.68515,0.53233,0.1976,0.6878,0.065,0.08,0.125,4.1528,0.4821,5.4874,0.5323,5.1181,1.1711,0.0203,14.2888,0.002,0.0618,0.1326,0.002,0.072,166,15100,311,4.03,0.659,0.171,0.536,71.5,0.0418,0.234,2.26,1.13,2.15,0.112,167,0.981,0.0021,0.0035,0.0055,0.0789,3.83,140,344,32.6,122,26.4,0.305,26.5,4.38,26.5,5.72,16.7,2.39,16.6,2.64,0.0017,0.0495,22.9,-9999,-9999,-9999,-81.34,-11.91,0.019,0.225,
4/14/2006 14:30,FLUME_UJ,JEMEZ_S51,GRAB,Grab,Surface water,6.9,6,2.8,-9999,69.2,-0.17,3.516,10.5171,0.90996,0.067,0.8455,0.065,0.08,0.5532,4.3959,0.0331,5.837,0.9319,2.6214,2.2003,0.0277,11.3018,0.002,0.2819,0.3939,0.0188,0.175,1210,12000,25.2,27.4,1.31,0.52,5.34,560,0.179,0.937,2.34,3.25,0.495,0.218,949,0.218,0.0072,0.0053,0.0455,0.0524,19.1,592,1470,172,738,172,22.2,172,27.1,158,33.5,103,14.8,100,15.8,0.0095,0.303,159,-9999,-9999,-9999,-89.61,-12.83,0.02,0.009,
4/15/2006 11:30,FLUME_LJ,JEMEZ_S52,GRAB,Grab,Surface water,6.7,6.4,7,-9999,60.3,0.34,3.333,12.08867,1.02807,0.1023,1.1073,0.065,0.08,0.125,4.159,0.11,4.7161,0.91,2.7048,2.9526,0.0265,9.394,0.002,0.2996,0.3641,0.0232,0.157,460,9780,32.9,7.76,0.973,0.288,3.69,299,0.14,1.33,2.19,2.74,0.498,0.229,1060,0.228,0.0047,0.0087,0.0161,0.0737,23,704,1710,203,842,193,27.9,195,30.8,182,37.4,111,16.2,107,16.6,0.009,0.256,143,-9999,-9999,-18.5898,-91.18,-12.79,0.025,0.008,Flow estimate - water was also going around flume.
4/15/2006 10:30,FLUME_HG,JEMEZ_S53,GRAB,Grab,Surface water,7,6.3,4.6,-9999,69.2,0.1,1.954,4.20827,0.81138,0.0471,1.143,0.065,0.08,1.0627,5.7161,0.11,3.8026,0.6954,2.5939,1.3191,0.0158,11.7198,0.002,0.225,0.4531,0.0076,0.134,447,12200,19.7,5.74,0.459,0.196,4.84,169,0.0925,0.345,2.26,1.95,0.213,0.149,924,0.102,0.0043,0.0033,0.0091,0.0324,9.09,598,1880,163,692,159,15.1,169,25.6,150,30.8,91.7,12.2,77.3,12.6,0.0056,0.275,102,-9999,-9999,-19.6819,-86.67,-12.24,0.019,0.005,
4/15/2006 9:30,FLUME_LLJ,JEMEZ_S54,GRAB,Grab,Surface water,7,6.5,4.5,-9999,70,0.17,2.841,5.23164,0.68086,0.0573,0.6848,0.065,0.08,0.9497,4.2375,0.013,4.7111,0.5551,2.3282,0.9625,0.0186,9.8712,0.002,0.1475,0.2969,0.0071,0.128,278,10300,37.7,3.9,0.433,0.143,2.83,102,0.0839,0.266,2.03,1.9,0.313,0.159,471,0.124,0.0023,0.003,0.0051,0.034,7.05,345,1320,88.3,369,81.3,6.63,91.1,13.2,80.1,17.1,50.3,6.73,42,6.64,0.0034,0.151,64.2,-9999,-9999,-17.5377,-87.98,-12.74,0.034,0.024,
4/18/2006 10:30,VGJJ7,JEMEZ_S55,GRAB,Grab,Surface water,6.9,6.3,4.9,-9999,53.2,0.31,4.888,14.0787,1.10163,0.2067,5.1544,0.065,0.08,0.125,4.3433,0.11,6.5614,1.5504,6.1358,2.738,0.0362,12.3987,0.002,0.3617,0.4884,0.0288,0.155,643,13200,52.1,9.91,1.24,0.379,4.3,360,0.147,1.44,2.2,4.14,0.836,0.226,1130,0.403,0.0078,0.0156,0.0416,0.172,28.9,893,2070,234,927,206,32,214,33.6,193,39.4,119,17.4,114,18,0.0332,0.362,184,-9999,-9999,-9999,-84.76,-12.2,0.053,0.022,Temperature verified via transducer at gage site
4/15/2006 13:00,VGJJ9,JEMEZ_S56,GRAB,Grab,Surface water,6.6,6.3,12,-9999,50.3,0.55,5.681,14.18886,1.20305,0.2142,3.2973,0.065,0.08,0.125,3.6337,0.11,5.8854,1.444,5.3338,3.5169,0.033,11.3144,0.002,0.4457,0.7575,0.0266,0.133,1290,11500,76.1,28.4,1.83,0.73,4.83,667,0.189,1.56,0.426,6.03,0.983,0.244,796,0.617,0.0125,0.0148,0.062,0.12,27.3,554,1300,157,649,145,21.8,148,22.1,135,28.2,88.4,12.9,84.1,13.2,0.022,0.326,177,-9999,-9999,-18.0988,-86.98,-12.19,0.097,0.029,
4/15/2006 13:45,EFJ2/VGS1trib,JEMEZ_S57,GRAB,Grab,Surface water,6.5,6.2,14,-9999,44.9,-0.48,4.145,11.43183,0.91315,0.1242,1.4973,0.065,0.08,0.125,5.4297,0.11,5.38,1.198,3.4377,3.4694,0.0286,9.9261,0.002,0.3938,0.5366,0.0267,0.132,875,10200,71.2,20.1,1.3,0.357,7.63,440,0.142,1.18,0.593,4.1,0.7,0.176,877,0.273,0.0095,0.0139,0.0459,0.12,27.2,743,1920,197,805,173,25.7,180,27.2,152,31.3,92.9,13.3,84,13.2,0.0224,0.304,185,-9999,-9999,-9999,-84.03,-11.79,0.069,0.033,
4/15/2006 13:30,EFJ3/VGS2,JEMEZ_S58,GRAB,Grab,Surface water,6.7,6.5,13.8,-9999,47.5,0.37,5.388,16.56696,1.32374,0.1647,2.3044,0.065,0.08,0.125,4.5176,0.11,5.6745,1.3657,4.7546,3.4753,0.0303,11.4025,0.002,0.4895,0.8486,0.0267,0.177,1480,11000,65.5,32.5,1.93,0.747,8.38,723,0.204,1.54,1.02,5.18,0.929,0.256,810,0.57,0.0313,0.0367,0.0861,0.125,27.6,593,1460,165,675,157,23,154,24.1,146,28.5,87.4,12.3,83.6,13.5,0.0401,0.396,196,-9999,-9999,-9999,-85.85,-12.09,0.106,0.044,
4/15/2006 14:00,EFJ4/VGS3,JEMEZ_S59,GRAB,Grab,Surface water,6.6,6.5,14.3,-9999,45.6,0.38,5.829,14.73607,1.27923,0.2152,2.8273,0.065,0.08,0.125,3.7807,0.11,5.9239,1.4234,5.5779,3.4625,0.0321,10.8158,0.002,0.3498,0.4756,0.0271,0.182,1200,11400,72.3,23.9,1.9,0.632,7.31,576,0.212,1.55,1.78,4.36,0.985,0.259,856,0.696,0.028,0.0416,0.0657,0.128,27.7,606,1430,165,670,153,23.9,158,24.6,150,30.1,91.7,12.7,88.6,13.6,0.0383,0.378,190,-9999,-9999,-9999,-86.31,-12.1,0.035,0.023,
4/15/2006 15:15,EFJ5/VGS4,JEMEZ_S60,GRAB,Grab,Surface water,6.4,6.5,14.1,-9999,33.9,0.38,7.529,14.18593,1.10583,0.2857,4.0383,0.065,0.08,0.125,2.6944,0.11,6.3143,1.7401,7.5051,3.1095,0.0349,10.6982,0.002,0.3317,0.4548,0.0273,0.104,1380,11300,88.4,29.6,2.3,0.773,4.01,620,0.176,1.46,0.575,4.65,1.17,0.237,594,0.916,0.0156,0.0219,0.0491,0.105,28.1,476,1050,126,492,111,18.6,111,17.2,103,20.8,62.8,9.32,60.6,9.65,0.0207,0.316,156,-9999,-9999,-9999,-85.43,-11.99,0.106,0.044,
4/15/2006 14:45,EFJ6/VGS5Jar,JEMEZ_S61,GRAB,Grab,Surface water,6.6,6.5,15.5,-9999,52.7,0.23,4.053,14.53834,1.22235,0.1815,1.1343,0.065,0.08,0.125,4.5072,0.11,5.2386,1.0212,3.4492,3.5691,0.028,11.0451,0.002,0.3816,0.5261,0.026,0.21,896,11600,50.2,15.6,1.57,0.392,5.85,423,0.163,1.57,0.712,3.91,0.767,0.256,1320,0.456,0.0203,0.0286,0.0443,0.12,26.2,986,2390,274,1100,248,35.6,265,40,231,47.6,145,20.7,131,20.9,0.0296,0.417,236,-9999,-9999,-9999,-88.92,-12.41,0.065,0.016,
4/16/2006 14:50,EFJ7/VGS6,JEMEZ_S62,GRAB,Grab,Surface water,6.6,6.6,15.3,-9999,49.2,0.4,4.344,14.50845,1.02913,0.214,1.3744,0.065,0.08,0.0405,4.0502,0.11,5.3049,1.0777,3.7212,3.5553,0.0291,11.4551,0.002,0.4134,0.6539,0.0252,0.204,743,11500,54.9,12.3,1.5,0.431,5.52,392,0.172,1.56,0.308,3.71,0.782,0.255,1240,0.474,0.0118,0.0188,0.0307,0.0994,26.3,888,2180,249,1030,232,32.9,238,37.6,220,44.7,131,19.5,122,19.4,0.0186,0.375,206,-9999,-9999,-9999,-88.3,-12.44,0.039,0.02,
